BATTING,dismissed by,R,B,M,4s,6s,SR,Innings,Match ID,Fielder,Bowler,Status
Matthew Wade,lbw b Thakur,80,53,-,7,2,150.94,First Innings,1116,,Thakur,lbw
Aaron Finch,c Pandya b Washington Sundar,0,2,-,0,0,0.00,First Innings,1116,Pandya,Washington Sundar,caught
Steven Smith,b Washington Sundar,24,23,-,1,0,104.34,First Innings,1116,,Sundar,b
Glenn Maxwell,b Natarajan,54,36,-,3,3,150.00,First Innings,1116,,Natarajan,b
Moises Henriques,not out,5,2,-,1,0,250.00,First Innings,1116,,,not out
D'Arcy Short,run out (sub [MK Pandey]/†Rahul),7,3,-,1,0,233.33,First Innings,1116,,Pandey]/†Rahul),run
Daniel Sams,not out,4,2,-,1,0,200.00,First Innings,1116,,,not out
KL Rahul,c Smith b Maxwell,0,2,-,0,0,0.00,Second Innings,1116,Smith,Maxwell,caught
Shikhar Dhawan,c Sams b Swepson,28,21,-,3,0,133.33,Second Innings,1116,Sams,Swepson,caught
Virat Kohli,c Sams b Tye,85,61,-,4,3,139.34,Second Innings,1116,Sams,Tye,caught
Sanju Samson,c Smith b Swepson,10,9,-,0,0,111.11,Second Innings,1116,Smith,Swepson,caught
Shreyas Iyer,lbw b Swepson,0,1,-,0,0,0.00,Second Innings,1116,,Swepson,lbw
Hardik Pandya,c Finch b Zampa,20,13,-,1,2,153.84,Second Innings,1116,Finch,Zampa,caught
Washington Sundar,c Tye b Abbott,7,6,-,1,0,116.66,Second Innings,1116,Tye,Abbott,caught
Shardul Thakur,not out,17,7,-,0,2,242.85,Second Innings,1116,,,not out
Deepak Chahar,not out,0,0,-,0,0,-,Second Innings,1116,,,not out
Matthew Wade,run out (Kohli/†Rahul),58,32,-,10,1,181.25,First Innings,1115,,(Kohli/†Rahul),run
D'Arcy Short,c Iyer b Natarajan,9,9,-,1,0,100.00,First Innings,1115,Iyer,Natarajan,caught
Steven Smith,c Pandya b Chahal,46,38,-,3,2,121.05,First Innings,1115,Pandya,Chahal,caught
Glenn Maxwell,c Washington Sundar b Thakur,22,13,-,0,2,169.23,First Innings,1115,Washington Sundar,Thakur,caught
