BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,Innings,Match ID
Deepak Chahar,4,0,34,0,8.50,8,4,0,1,0,First Innings,1116
Washington Sundar,4,0,34,2,8.50,9,4,0,1,0,First Innings,1116
T Natarajan,4,0,33,1,8.25,8,3,0,2,0,First Innings,1116
Yuzvendra Chahal,4,0,41,0,10.25,3,1,2,2,1,First Innings,1116
Shardul Thakur,4,0,43,1,10.75,6,2,3,0,0,First Innings,1116
Glenn Maxwell,3,0,20,1,6.66,3,1,0,1,0,Second Innings,1116
Sean Abbott,4,0,49,1,12.25,4,4,2,1,0,Second Innings,1116
Daniel Sams,2,0,29,0,14.50,2,1,3,1,0,Second Innings,1116
Andrew Tye,4,0,31,1,7.75,10,2,2,1,0,Second Innings,1116
Mitchell Swepson,4,0,23,3,5.75,4,0,0,0,0,Second Innings,1116
Adam Zampa,3,0,21,1,7.00,3,1,0,0,0,Second Innings,1116
Deepak Chahar,4,0,48,0,12.00,6,5,1,2,0,First Innings,1115
Washington Sundar,4,0,35,0,8.75,7,3,1,1,0,First Innings,1115
Shardul Thakur,4,0,39,1,9.75,7,6,0,1,0,First Innings,1115
T Natarajan,4,0,20,2,5.00,8,1,0,0,0,First Innings,1115
Yuzvendra Chahal,4,0,51,1,12.75,5,0,5,1,0,First Innings,1115
Daniel Sams,3.4,0,41,1,11.18,8,2,3,0,0,Second Innings,1115
Sean Abbott,2,0,17,0,8.50,3,1,1,0,0,Second Innings,1115
Andrew Tye,4,0,47,1,11.75,10,6,2,1,1,Second Innings,1115
Glenn Maxwell,1,0,19,0,19.00,0,2,1,0,0,Second Innings,1115
Mitchell Swepson,4,0,25,1,6.25,7,0,0,1,0,Second Innings,1115
Moises Henriques,1,0,9,0,9.00,1,1,0,0,0,Second Innings,1115
Adam Zampa,4,0,36,1,9.00,4,1,2,0,0,Second Innings,1115
Mitchell Starc,4,0,34,2,8.50,9,4,0,2,0,First Innings,1114
Josh Hazlewood,4,0,39,0,9.75,8,4,1,0,1,First Innings,1114
