Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link,Match_id
Australia,India,Australia,12 runs,Sydney,"Dec 8, 2020",T20I # 1116,https://www.espncricinfo.com/series/india-in-australia-2020-21-1223867/australia-vs-india-3rd-t20i-1223954/full-scorecard,1116
Australia,India,India,6 wickets,Sydney,"Dec 6, 2020",T20I # 1115,https://www.espncricinfo.com/series/india-in-australia-2020-21-1223867/australia-vs-india-2nd-t20i-1223953/full-scorecard,1115
Australia,India,India,11 runs,Canberra,"Dec 4, 2020",T20I # 1114,https://www.espncricinfo.com/series/india-in-australia-2020-21-1223867/australia-vs-india-1st-t20i-1223952/full-scorecard,1114
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",T20I # 1037,https://www.espncricinfo.com/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-5th-t20i-1187681/full-scorecard,1037
New Zealand,India,tied,-,Wellington,"Jan 31, 2020",T20I # 1036,https://www.espncricinfo.com/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-4th-t20i-1187680/full-scorecard,1036
New Zealand,India,tied,-,Hamilton,"Jan 29, 2020",T20I # 1035,https://www.espncricinfo.com/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-3rd-t20i-1187679/full-scorecard,1035
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",T20I # 1034,https://www.espncricinfo.com/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-2nd-t20i-1187678/full-scorecard,1034
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",T20I # 1031,https://www.espncricinfo.com/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-1st-t20i-1187677/full-scorecard,1031
India,Sri Lanka,India,78 runs,Pune,"Jan 10, 2020",T20I # 1027,https://www.espncricinfo.com/series/sri-lanka-tour-of-india-2019-20-1202239/india-vs-sri-lanka-3rd-t20i-1202244/full-scorecard,1027
India,Sri Lanka,India,7 wickets,Indore,"Jan 7, 2020",T20I # 1026,https://www.espncricinfo.com/series/sri-lanka-tour-of-india-2019-20-1202239/india-vs-sri-lanka-2nd-t20i-1202243/full-scorecard,1026
India,Sri Lanka,no result,-,Guwahati,"Jan 5, 2020",T20I # 1025,https://www.espncricinfo.com/series/sri-lanka-tour-of-india-2019-20-1202239/india-vs-sri-lanka-1st-t20i-1202242/full-scorecard,1025
India,New Zealand,India,73 runs,Eden Gardens,"Nov 21, 2021",T20I # 1446,https://www.espncricinfo.com/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-3rd-t20i-1278673/full-scorecard,1446
India,New Zealand,India,7 wickets,Ranchi,"Nov 19, 2021",T20I # 1440,https://www.espncricinfo.com/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-2nd-t20i-1278672/full-scorecard,1440
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",T20I # 1434,https://www.espncricinfo.com/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-1st-t20i-1278671/full-scorecard,1434
India,Namibia,India,9 wickets,Dubai (DICS),"Nov 8, 2021",T20I # 1410,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-namibia-42nd-match-group-2-1273753/full-scorecard,1410
India,Scotland,India,8 wickets,Dubai (DICS),"Nov 5, 2021",T20I # 1396,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-scotland-37th-match-group-2-1273748/full-scorecard,1396
Afghanistan,India,India,66 runs,Abu Dhabi,"Nov 3, 2021",T20I # 1390,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/afghanistan-vs-india-33rd-match-group-2-1273744/full-scorecard,1390
